simplified	MY	example_MY	KM	example_KM	LO	example_LO
打招呼	နှုတ်ဆက်သည်	သူက ပြုံးပြီး ကျွန်တော့်ကို နှုတ်ဆက်သည်။	សួរសុខទុក្ខ; ជម្រាបសួរ	គាត់ញញឹមហើយជម្រាបសួរខ្ញុំ។	ທັກທາຍ	ລາວຍິ້ມແລ້ວທັກທາຍຂ້ອຍ.
打折	ဈေးလျှော့သည်	နွေဦးပွဲတော်မတိုင်မီ ကုန်တိုက်တွေမှာ ဈေးလျှော့နေကြသည်။	បញ្ចុះតម្លៃ	មុនបុណ្យចូលឆ្នាំចិន ផ្សារទំនើបទាំងអស់កំពុងបញ្ចុះតម្លៃ។	ຫຼຸດລາຄາ	ກ່ອນບຸນປີໃໝ່ຈີນ ຫ້າງສັບພະສິນຄ້າຕ່າງໆກຳລັງຫຼຸດລາຄາ.
打针	ဆေးထိုးသည်	သားက ဆေးထိုးရမှာ အလွန်ကြောက်သည်။	ចាក់ថ្នាំ	កូនប្រុសខ្លាចចាក់ថ្នាំណាស់។	ສັກຢາ	ລູກຊາຍຢ້ານການສັກຢາຫຼາຍ.
大概	ဖြစ်နိုင်သည်; ခန့်မှန်းခြေ	သူ ဖြစ်နိုင်ချေ မလာတော့ဘူး။	ប្រហែលជា; ប្រហែល	គាត់ប្រហែលជាមិនមកទេ។	ອາດຈະ; ປະມານ	ລາວອາດຈະບໍ່ມາແລ້ວ.
大使馆	သံရုံး	မနက်ဖြန် ကျွန်တော် သံရုံးကို ဗီဇာလုပ်ရန် သွားမည်။	ស្ថានទូត	ថ្ងៃស្អែកខ្ញុំនឹងទៅស្ថានទូតដើម្បីធ្វើទិដ្ឋាការ។	ສະຖານທູດ	ມື້ອື່ນຂ້ອຍຈະໄປສະຖານທູດເພື່ອເຮັດວີຊາ.
大约	ခန့်; အနီးအနား	သူ့အသက်က သုံးဆယ်ကျော်ခန့် ရှိမည်။	ប្រហែល	គាត់ប្រហែលជាមានអាយុលើសសាមសិបឆ្នាំ។	ປະມານ	ລາວອາຍຸປະມານສາມສິບກວ່າປີ.
大夫	ဆရာဝန်	ဒေါက်တာလီ၊ မနက်ဖြန် မနက်ပိုင်း ဆေးရုံမှာ ရှိမလား။	វេជ្ជបណ្ឌិត; គ្រូពេទ្យ	លោកគ្រូពេទ្យលី ថ្ងៃស្អែកព្រឹកអ្នកនៅមន្ទីរពេទ្យទេ?	ທ່ານໝໍ	ທ່ານໝໍຫຼີ ມື້ອື່ນຕອນເຊົ້າທ່ານຢູ່ໂຮງໝໍບໍ?
戴	ဝတ်သည်; တပ်သည်	သူက အနက်ရောင် မျက်မှန်တစ်လက် တပ်ထားသည်။	ពាក់	គាត់ពាក់វ៉ែនតាពណ៌ខ្មៅមួយគូ។	ໃສ່; ສວມ	ລາວໃສ່ແວ່ນຕາສີດຳຄູ່ໜຶ່ງ.
当	ဖြစ်သည်; အဖြစ်လုပ်သည်	ကျွန်တော် ဆရာဝန်ဖြစ်ချင်သည်။	ធ្វើជា; ក្លាយជា	ខ្ញុំចង់ធ្វើជាគ្រូពេទ្យ។	ເປັນ; ເຮັດເປັນ	ຂ້ອຍຢາກເປັນທ່ານໝໍ.
当时	ထိုအချိန်က	ထိုအချိန်က အခြေအနေကို ကျွန်တော် မမှတ်မိတော့ဘူး။	នៅពេលនោះ	ខ្ញុំចងចាំស្ថានភាពនៅពេលនោះមិនច្បាស់ទេ។	ໃນຕອນນັ້ນ	ຂ້ອຍຈື່ສະພາບໃນຕອນນັ້ນບໍ່ຄ່ອຍຊັດ.
刀	ဓား	သစ်သီးဓားက မီးဖိုချောင်ထဲမှာ ရှိသည်။	កាំបិត	កាំបិតផ្លែឈើនៅក្នុងផ្ទះបាយ។	ມີດ	ມີດປອກໝາກໄມ້ຢູ່ໃນເຮືອນຄົວ.
导游	ဧည့်လမ်းညွှန်	ကျွန်တော့်အစ်မက ဧည့်လမ်းညွှန်တစ်ယောက် ဖြစ်သည်။	មគ្គុទ្ទេសក៍ទេសចរណ៍	បងស្រីរបស់ខ្ញុំជាមគ្គុទ្ទេសក៍ទេសចរណ៍ម្នាក់។	ມັກຄຸເທດ; ຜູ້ນຳທ່ຽວ	ເອື້ອຍຂອງຂ້ອຍເປັນຜູ້ນຳທ່ຽວຄົນໜຶ່ງ.
倒	လဲသည်; လှဲချသည်	လေပြင်းက သစ်ပင်ကို လှဲချလိုက်သည်။	ដួល; ផ្តួល	ខ្យល់ខ្លាំងបានបក់ឱ្យដើមឈើដួល។	ລົ້ມ; ເຮັດໃຫ້ລົ້ມ	ລົມແຮງພັດຕົ້ນໄມ້ລົ້ມ.
到处	နေရာတိုင်း	ပန်းခြံထဲမှာ နေရာတိုင်း ပန်းတွေနဲ့ ပြည့်နေသည်။	គ្រប់ទីកន្លែង	ក្នុងសួនមានផ្កាគ្រប់ទីកន្លែង។	ທົ່ວທຸກບ່ອນ	ໃນສວນມີດອກໄມ້ຢູ່ທົ່ວທຸກບ່ອນ.
到底	အတိအကျ; တကယ်တော့	ဒီဝါကျက အတိအကျ ဘာအဓိပ္ပါယ်လဲ။	ពិតប្រាកដ; សរុបមក	ប្រយោគនេះមានន័យពិតប្រាកដថាអ្វី?	ແນ່ນອນ; ແທ້ໆ	ປະໂຫຍກນີ້ແນ່ນອນໝາຍຄວາມວ່າຫຍັງ?
道歉	တောင်းပန်သည်	ကျွန်တော် သူ့ကို တောင်းပန်ပြီးပြီ။	សុំទោស	ខ្ញុំបានសុំទោសគាត់រួចហើយ។	ຂໍໂທດ	ຂ້ອຍຂໍໂທດລາວແລ້ວ.
得	မဖြစ်မနေ; လိုအပ်သည်	မနက်ဖြန် စာမေးပွဲရှိလို့ ကျွန်တော် စောစောအိပ်ရမယ်။	ត្រូវតែ; ចាំបាច់ត្រូវ	ថ្ងៃស្អែកមានប្រឡង ខ្ញុំត្រូវចូលគេងឱ្យលឿន។	ຕ້ອງ; ຈຳເປັນຕ້ອງ	ມື້ອື່ນມີສອບ ຂ້ອຍຕ້ອງນອນໄວ.
得意	မာနရှိသော; ကျေနပ်သော	အလုပ်အောင်မြင်သွားတော့ လူတိုင်း အလွန်ကျေနပ်ခဲ့သည်။	មានមោទនភាព; ពេញចិត្ត	ការងារទទួលបានជោគជ័យ អ្នករាល់គ្នាមានមោទនភាពណាស់។	ພູມໃຈ; ພໍໃຈ	ວຽກສຳເລັດແລ້ວ ທຸກຄົນພູມໃຈຫຼາຍ.
登机牌	လေယာဉ်တက်ခွင့်လက်မှတ်	ကျေးဇူးပြု၍ လေယာဉ်တက်ခွင့်လက်မှတ်ကို သေချာကိုင်ထားပြီး လေယာဉ်တက်ရန် ပြင်ဆင်ပါ။	បណ្ណឡើងយន្តហោះ	សូមកាន់បណ្ណឡើងយន្តហោះឱ្យបានល្អ ហើយត្រៀមឡើងយន្តហោះ។	ບັດຂຶ້ນເຮືອບິນ	ກະລຸນາຖືບັດຂຶ້ນເຮືອບິນໃຫ້ດີ ແລະກຽມຂຶ້ນເຮືອບິນ.
等	စသည်တို့	စားပွဲပေါ်မှာ ပန်းသီး၊ ငှက်ပျောသီး စသည်တို့သော သစ်သီးများ ရှိသည်။	ជាដើម	លើតុមានផ្លែប៉ោម ចេក ជាដើម។	ແລະອື່ນໆ	ເທິງໂຕະມີໝາກແອັບເປິນ ໝາກກ້ວຍ ແລະອື່ນໆ.
低	နိမ့်သော	နည်းနည်း မြှင့်ပါ၊ အခု အရမ်းနိမ့်နေတယ်။	ទាប	ខ្ពស់ជាងនេះបន្តិច ឥឡូវទាបពេកហើយ។	ຕ່ຳ	ສູງຂຶ້ນອີກໜ້ອຍ ຕອນນີ້ຕ່ຳເກີນໄປ.
底	အောက်ခြေ; အခြေ	ခွက်ရဲ့ အောက်ခြေက သန့်ရှင်းသည်။	បាត; មូលដ្ឋាន	បាតពែងស្អាតណាស់។	ກົ້ນ; ຖານ	ກົ້ນຈອກສະອາດຫຼາຍ.
地点	နေရာ; တည်နေရာ	အစည်းအဝေးနေရာက တတိယထပ် အစည်းအဝေးခန်းမှာ ဖြစ်သည်။	ទីកន្លែង; ទីតាំង	ទីកន្លែងប្រជុំស្ថិតនៅបន្ទប់ប្រជុំជាន់ទីបី។	ສະຖານທີ່	ສະຖານທີ່ປະຊຸມຢູ່ຫ້ອງປະຊຸມຊັ້ນສາມ.
地球	ကမ္ဘာမြေ	ကမ္ဘာမြေ၏ မျက်နှာပြင်အများစုမှာ သမုဒ္ဒရာ ဖြစ်သည်။	ផែនដី	ផ្ទៃភាគច្រើននៃផែនដីគឺសមុទ្រ។	ໂລກ	ພື້ນຜິວສ່ວນໃຫຍ່ຂອງໂລກແມ່ນມະຫາສະໝຸດ.
地址	လိပ်စာ	ကျေးဇူးပြု၍ သင့်လိပ်စာကို ရေးထားပါ။	អាសយដ្ឋាន	សូមសរសេរអាសយដ្ឋានរបស់អ្នកចុះ។	ທີ່ຢູ່	ກະລຸນາຂຽນທີ່ຢູ່ຂອງທ່ານລົງ.
掉	ကျသည်; ပြုတ်ကျသည်	သော့က မြေပေါ် ပြုတ်ကျသွားသည်။	ធ្លាក់; ជ្រុះ	កូនសោធ្លាក់លើដី។	ຕົກ; ຫຼົ່ນ	ກະແຈຕົກລົງພື້ນ.
调查	စုံစမ်းစစ်ဆေးခြင်း; စုံစမ်းသည်	ရဲတွေ စုံစမ်းစစ်ဆေးနေကြသည်။	ស៊ើបអង្កេត; ការស៊ើបអង្កេត	ប៉ូលិសកំពុងធ្វើការស៊ើបអង្កេត។	ສືບສວນ; ການສືບສວນ	ຕຳຫຼວດກຳລັງສືບສວນ.
丢	ပျောက်ဆုံးသည်	မင်းရဲ့ ကျောင်းလွယ်အိတ် ပျောက်သွားတာလား။	បាត់	កាបូបសាលារបស់អ្នកបាត់ហើយឬ?	ເສຍ; ຫາຍ	ກະເປົານັກຮຽນຂອງເຈົ້າຫາຍແລ້ວບໍ?
动作	လှုပ်ရှားမှု; အပြုအမူ	ငါ မင်းကို ကနည်း သင်ပေးမယ်၊ လှုပ်ရှားမှုတွေက ရိုးရှင်းတယ်။	ចលនា; សកម្មភាព	ខ្ញុំនឹងបង្រៀនអ្នករាំ ចលនាងាយស្រួលណាស់។	ການເຄື່ອນໄຫວ; ທ່າທາງ	ຂ້ອຍຈະສອນເຈົ້າເຕັ້ນ ທ່າທາງງ່າຍຫຼາຍ.
堵车	ကားပိတ်ခြင်း	ကျွန်တော် လမ်းပေါ်မှာ ရှိနေပြီး ကားထပ်ပိတ်နေတယ်။	ស្ទះចរាចរណ៍	ខ្ញុំនៅលើផ្លូវ ហើយស្ទះចរាចរណ៍ទៀតហើយ។	ລົດຕິດ	ຂ້ອຍຢູ່ລະຫວ່າງທາງ ແລະລົດຕິດອີກແລ້ວ.
肚子	ဗိုက်; ဝမ်းဗိုက်	ကျွန်တော် ဗိုက်နာသည်။	ពោះ	ខ្ញុំឈឺពោះ។	ທ້ອງ	ຂ້ອຍເຈັບທ້ອງ.
